doc_id,label,train_id,text
doc00080,ham,train,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
doc00081,spam,train,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
doc00082,ham,train,if you text on your way to cup stop that should work. And that should be BUS
doc00083,ham,valid,Great. Never been better. Each day gives even more reasons to thank God
doc00084,spam,valid,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
doc00085,ham,valid,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
doc00086,spam,train,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
doc00087,spam,train,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP
doc00088,ham,valid,I am late. I will be there at
doc00089,ham,train,I was slept that time.you there?
doc00090,spam,valid,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
doc00091,ham,train,Can you talk with me..
doc00092,spam,train,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
doc00093,spam,train,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
doc00094,spam,valid,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
doc00095,ham,train,"It's ok, at least armand's still around"
doc00096,ham,train,Man this bus is so so so slow. I think you're gonna get there before me
doc00097,spam,valid,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
doc00098,ham,train,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.
doc00099,ham,valid,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
doc00100,spam,train,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
doc00101,ham,valid,Yes watching footie but worried we're going to blow it - Phil Neville?
doc00102,ham,train,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
doc00103,spam,train,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
doc00104,spam,train,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
doc00105,spam,valid,2/2 146tf150p
doc00106,ham,valid,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
doc00107,spam,valid,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
doc00108,ham,valid,Even i cant close my eyes you are in me our vava playing umma :-D
doc00109,ham,valid,Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx
doc00110,ham,valid,Are you in castor? You need to see something
doc00111,ham,train,Not to worry. I'm sure you'll get it.
doc00112,ham,train,"I think we're going to finn's now, come"
doc00113,ham,valid,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
doc00114,ham,train,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
doc00115,ham,train,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
doc00116,spam,train,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
doc00117,spam,train,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
doc00118,ham,train,How much did ur hdd casing cost.
doc00119,ham,valid,Wot about on wed nite I am 3 then but only til 9!
doc00120,ham,train,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
doc00121,ham,train,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
doc00122,ham,train,ILL B DOWN SOON
doc00123,spam,train,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3"
doc00124,ham,train,HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!
doc00125,spam,train,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
doc00126,spam,train,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
doc00127,spam,valid,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
doc00128,spam,valid,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
doc00129,ham,train,"Sorry da thangam, very very sorry i am held up with prasad."
doc00130,ham,valid,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
doc00131,ham,train,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
doc00132,spam,train,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
doc00133,ham,valid,Sorry that was my uncle. I.ll keep in touch
doc00134,spam,train,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
doc00135,ham,train,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
doc00136,ham,valid,It's ok i wun b angry. Msg u aft i come home tonight.
doc00137,spam,train,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
doc00138,spam,train,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
doc00139,ham,train,Armand says get your ass over to epsilon
doc00140,spam,train,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154"
doc00141,ham,train,"Babe, I need your advice"
doc00142,spam,valid,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
doc00143,ham,valid,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
doc00144,ham,valid,I love to wine and dine my lady!
doc00145,ham,valid,"2 celebrate my bday, y else?"
doc00146,spam,train,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
doc00147,ham,train,"Hiya, probably coming home * weekend after next"
doc00148,spam,train,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
doc00149,spam,valid,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
doc00150,spam,train,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
doc00151,spam,train,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
doc00152,ham,train,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
doc00153,spam,valid,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
doc00154,ham,train,26th OF JULY
doc00155,spam,train,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
doc00156,spam,valid,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
doc00157,spam,valid,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
doc00158,spam,train,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
doc00159,ham,train,Why don't you wait 'til at least wednesday to see if you get your .
doc00160,spam,train,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
doc00161,ham,valid,Sounds like something that someone testing me would sayy
doc00162,ham,valid,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
doc00163,ham,train,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
doc00164,spam,train,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
doc00165,spam,valid,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
doc00166,spam,train,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
doc00167,ham,valid,We can go 4 e normal pilates after our intro...
doc00168,ham,valid,Am going to take bath ill place the key in window:-)
doc00169,spam,train,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
doc00170,ham,train,"Aight I'll grab something to eat too, text me when you're back at mu"
doc00171,spam,train,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
doc00172,ham,valid,Which is weird because I know I had it at one point
doc00173,spam,train,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
doc00174,spam,train,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
doc00175,ham,train,At WHAT TIME should i come tomorrow
doc00176,ham,train,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
doc00177,spam,train,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
doc00178,ham,valid,Sry da..jst nw only i came to home..
doc00179,ham,valid,"Thank you. And by the way, I just lost."
doc00180,ham,train,Pls go there today  &lt;#&gt; . I dont want any excuses
doc00181,spam,train,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
doc00182,ham,train,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave...
doc00183,spam,train,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
doc00184,spam,train,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
doc00185,ham,train,Yeah do! Don‘t stand to close tho- you‘ll catch something!
doc00186,ham,valid,Hi darlin did youPhone me? Im atHome if youwanna chat.
doc00187,ham,valid,No way I'm going back there!
doc00188,ham,train,I.ll hand her my phone to chat wit u
doc00189,spam,valid,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
doc00190,spam,valid,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
doc00191,spam,valid,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
doc00192,ham,valid,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
doc00193,ham,train,Happy birthday to you....dear.with lots of love.rakhesh NRI
doc00194,spam,train,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
doc00195,ham,train,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
doc00196,ham,valid,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
doc00197,spam,train,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
doc00198,ham,train,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
doc00199,spam,train,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
doc00200,spam,valid,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
doc00201,spam,train,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
doc00202,spam,valid,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
doc00203,spam,valid,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
doc00204,spam,valid,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
doc00205,ham,train,Pls send me the correct name da.
doc00206,ham,train,We stopped to get ice cream and will go back after
doc00207,ham,train,Yup ü not comin :-(
doc00208,spam,valid,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
doc00209,ham,train,"Miss ya, need ya, want ya, love ya."
doc00210,spam,train,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
doc00211,spam,train,You have 1 new voicemail. Please call 08719181513.
doc00212,ham,train,True. Its easier with her here.
doc00213,ham,valid,Everybody had fun this evening. Miss you.
doc00214,spam,valid,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
doc00215,spam,train,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
doc00216,spam,train,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
doc00217,spam,train,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
doc00218,spam,train,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
doc00219,ham,valid,O i played smash bros  &lt;#&gt;  religiously.
doc00220,ham,valid,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
doc00221,ham,valid,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
doc00222,spam,valid,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
doc00223,spam,valid,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
doc00224,spam,train,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
doc00225,spam,train,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
doc00226,spam,valid,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
doc00227,ham,valid,Dont put your phone on silent mode ok
doc00228,spam,train,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
doc00229,spam,train,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
doc00230,spam,valid,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
doc00231,spam,valid,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
doc00232,spam,train,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
doc00233,spam,train,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
doc00234,spam,train,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
doc00235,spam,valid,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
doc00236,ham,train,Ma head dey swell oh. Thanks for making my day
