crime_type,year,month,day,hour,location,latitude,longitude
robbery,2004,1,8,15,SIDEWALK,41.780084938,-87.594639081
criminal_damage,2001,4,13,22,STREET,41.846737865,-87.683638061
robbery,2016,11,8,16,ALLEY,41.990479766,-87.692779622
robbery,2016,5,3,22,SIDEWALK,41.793935909,-87.625680278
criminal_damage,2010,10,23,19,STREET,41.800853391,-87.651401786
theft,2002,4,17,23,STREET,41.945053673,-87.745376045
criminal_damage,2012,6,21,7,STREET,41.970865588,-87.710987604
prostitution,2005,7,6,22,STREET,41.768797245,-87.647236204
narcotics,2005,5,10,14,STREET,41.884560559,-87.735953224
theft,2007,10,16,12,STREET,41.916825785,-87.676383919
prostitution,2002,7,23,1,STREET,41.917738376,-87.698607442
robbery,2009,10,8,1,STREET,41.753652757,-87.558114008
criminal_damage,2016,2,22,19,PARKING LOT/GARAGE(NON.RESID.),41.739004946,-87.64491897
narcotics,2006,5,4,24,APARTMENT,41.801538809,-87.616145232
prostitution,2016,1,7,21,STREET,41.870258256,-87.742460188
theft,2004,2,26,23,SMALL RETAIL STORE,41.946614037,-87.709293678
criminal_damage,2013,7,1,24,RESIDENCE,41.751575306,-87.661855097
robbery,2011,8,15,3,STREET,41.9702081,-87.667650098
theft,2007,1,1,3,OTHER,41.970666173,-87.728096309
prostitution,2004,2,17,23,STREET,41.889629205,-87.632543289
robbery,2014,4,29,18,PARKING LOT/GARAGE(NON.RESID.),41.880689331,-87.728784565
robbery,2002,10,11,12,SIDEWALK,41.95332279,-87.755259142
theft,2006,10,27,18,GROCERY FOOD STORE,41.96137851,-87.65474101
narcotics,2014,6,13,14,STREET,41.777521134,-87.63625819
prostitution,2002,7,19,9,STREET,41.881191799,-87.684578085
robbery,2001,3,22,10,STREET,41.667142977,-87.633270487
theft,2011,3,10,10,HOSPITAL BUILDING/GROUNDS,41.860911204,-87.695744714
criminal_damage,2004,8,5,9,STREET,41.779498076,-87.74110529
prostitution,2001,2,28,22,STREET,41.779200304,-87.674329474
robbery,2015,12,15,11,HOTEL/MOTEL,41.882880585,-87.698023476
narcotics,2003,4,21,10,RESIDENCE PORCH/HALLWAY,41.966047906,-87.661060061
narcotics,2004,7,27,11,OTHER,41.873699424,-87.704705156
theft,2002,8,3,14,SMALL RETAIL STORE,41.754592961,-87.741528537
robbery,2008,12,7,1,TAXICAB,41.996921876,-87.691081635
prostitution,2002,8,9,22,STREET,41.967458424,-87.659655286
theft,2006,2,9,14,RESIDENCE,41.806886042,-87.735795069
theft,2010,4,14,13,STREET,41.897390314,-87.651297664
prostitution,2004,5,14,1,STREET,41.917215931,-87.722190096
theft,2016,7,6,17,RESIDENCE-GARAGE,41.93647023,-87.681908498
narcotics,2013,2,16,18,SIDEWALK,42.019367214,-87.669963926
criminal_damage,2008,8,17,21,VEHICLE NON-COMMERCIAL,41.793981982,-87.591655814
robbery,2013,7,10,10,DAY CARE CENTER,41.677573166,-87.659260855
prostitution,2002,8,7,7,STREET,41.808233437,-87.696953239
criminal_damage,2004,2,7,18,STREET,41.729452225,-87.642214732
narcotics,2011,9,9,13,VEHICLE NON-COMMERCIAL,41.78627971,-87.653459282
narcotics,2011,7,14,23,APARTMENT,41.850931768,-87.722259875
prostitution,2005,1,11,19,RESIDENCE,41.95320104,-87.765506065
prostitution,2007,11,12,20,STREET,41.762742518,-87.644350072
robbery,2012,10,16,10,STREET,41.883268747,-87.733460764
narcotics,2010,6,6,14,CTA BUS STOP,41.883951907,-87.706205795
criminal_damage,2005,4,13,21,COLLEGE/UNIVERSITY GROUNDS,41.70603236,-87.712431335
theft,2003,12,11,8,RESIDENCE,41.874804308,-87.758449369
criminal_damage,2006,10,8,24,STREET,41.816647898,-87.616002363
theft,2007,4,10,6,GROCERY FOOD STORE,41.786552107,-87.722981621
prostitution,2001,11,27,19,STREET,41.909491937,-87.68339521
robbery,2005,1,14,21,RESIDENCE,41.740255131,-87.574565769
prostitution,2004,6,13,18,HOTEL/MOTEL,41.893346855,-87.623478469
robbery,2001,2,24,9,SIDEWALK,41.909904606,-87.677303538
theft,2005,10,1,23,STREET,41.922770812,-87.674169659
robbery,2002,8,3,2,RESTAURANT,41.722344315,-87.625067053
theft,2001,8,13,11,SIDEWALK,41.834116637,-87.621975693
criminal_damage,2006,10,21,8,STREET,41.753076082,-87.567469931
prostitution,2001,1,9,22,STREET,41.900622585,-87.746055641
prostitution,2014,7,19,9,STREET,41.909965311,-87.719037334
theft,2015,12,8,20,LIBRARY,41.876607964,-87.627644063
prostitution,2002,10,3,22,STREET,41.941552883,-87.747687093
criminal_damage,2001,11,20,4,STREET,41.725276398,-87.563382294
robbery,2008,1,4,22,STREET,41.761597096,-87.576993735
narcotics,2008,9,17,20,STREET,41.800594881,-87.690328209
narcotics,2013,3,20,14,TAVERN/LIQUOR STORE,41.891840918,-87.711630436
prostitution,2004,11,5,14,STREET,41.744487237,-87.643863706
theft,2016,3,14,3,PARKING LOT/GARAGE(NON.RESID.),41.967860872,-87.674146279
criminal_damage,2008,11,3,18,STREET,41.681632574,-87.625568589
criminal_damage,2012,11,21,3,STREET,41.929112701,-87.700008757
prostitution,2002,8,27,21,STREET,42.009866363,-87.674165345
robbery,2004,5,7,4,SIDEWALK,41.952654085,-87.656035695
prostitution,2002,8,28,21,STREET,41.917408328,-87.70596285
theft,2012,11,26,11,SMALL RETAIL STORE,41.765755571,-87.576292427
theft,2006,3,15,7,PARKING LOT/GARAGE(NON.RESID.),41.925246375,-87.661433463
robbery,2003,7,28,3,SIDEWALK,41.882380888,-87.666517086
narcotics,2008,8,17,10,STREET,41.848707168,-87.636634704
theft,2004,10,28,17,CTA BUS,41.884925455,-87.624475099
narcotics,2003,8,4,11,STREET,42.015023337,-87.679076204
narcotics,2001,3,21,15,SIDEWALK,41.88363249,-87.768388272
prostitution,2009,7,7,20,STREET,41.803858917,-87.620304238
criminal_damage,2011,7,17,9,ALLEY,41.866044299,-87.734220229
narcotics,2002,1,17,13,CTA PLATFORM,41.886901317,-87.745509261
narcotics,2004,11,22,11,STREET,41.89765683,-87.726152565
prostitution,2013,10,15,8,STREET,41.879148115,-87.740567984
narcotics,2013,1,29,16,APARTMENT,41.792763782,-87.76054721
robbery,2004,11,1,15,SIDEWALK,41.859063312,-87.707032701
prostitution,2015,8,17,9,STREET,41.881887253,-87.739048083
narcotics,2006,1,19,24,VEHICLE NON-COMMERCIAL,41.892324548,-87.742418463
prostitution,2001,7,5,20,STREET,41.772377349,-87.644741875
theft,2002,10,18,11,STREET,41.91098647,-87.701892642
narcotics,2003,8,13,16,STREET,41.875163991,-87.733797258
prostitution,2005,11,22,22,STREET,41.967191644,-87.660022128
criminal_damage,2003,6,18,19,STREET,41.745571292,-87.575880993
criminal_damage,2005,8,4,9,RESIDENCE,41.771420432,-87.661571183
theft,2011,8,1,21,CTA TRAIN,41.877850233,-87.629290122
theft,2004,2,6,17,OTHER,41.895150666,-87.648012165
robbery,2003,4,13,17,CTA PLATFORM,41.88033698,-87.629365643
prostitution,2011,8,25,22,STREET,41.919898808,-87.746194922
criminal_damage,2012,11,17,20,STREET,41.850053044,-87.697386768
theft,2009,10,22,11,SIDEWALK,41.792863743,-87.674262877
theft,2002,8,12,18,PARKING LOT/GARAGE(NON.RESID.),41.877905955,-87.64987086
criminal_damage,2002,9,13,19,RESIDENCE,41.861624227,-87.721383491
prostitution,2001,4,15,20,STREET,41.881925363,-87.692058274
narcotics,2001,2,9,5,OTHER,41.890617159,-87.743928987
criminal_damage,2005,1,15,16,RESIDENCE,41.656880565,-87.594054317
robbery,2012,11,3,23,SIDEWALK,41.940952796,-87.72723795
criminal_damage,2007,4,9,7,PARKING LOT/GARAGE(NON.RESID.),41.895897635,-87.677715036
narcotics,2004,10,9,14,SIDEWALK,41.7255911,-87.560795933
prostitution,2008,1,27,16,STREET,41.801228804,-87.742981092
robbery,2015,10,14,20,PARK PROPERTY,41.974712279,-87.70131872
criminal_damage,2009,10,25,20,APARTMENT,41.694850249,-87.627957476
narcotics,2014,10,11,17,STREET,41.780294987,-87.684888472
narcotics,2013,3,27,14,SIDEWALK,41.87886043,-87.726470068
narcotics,2005,9,16,20,STREET,41.848549403,-87.626979903
theft,2017,3,8,11,GOVERNMENT BUILDING/PROPERTY,41.909782596,-87.734318403
robbery,2009,8,16,16,SMALL RETAIL STORE,41.683508771,-87.642098898
criminal_damage,2002,11,20,24,VACANT LOT/LAND,41.900040745,-87.721343753
robbery,2006,8,3,11,STREET,41.681382214,-87.63850848
narcotics,2013,1,15,20,STREET,41.695245189,-87.629260335
theft,2006,4,20,20,STREET,41.799860994,-87.675581167
criminal_damage,2001,7,11,24,RESIDENCE,41.682644155,-87.623613599
criminal_damage,2016,12,6,19,STREET,41.685591052,-87.535263257
narcotics,2006,12,10,4,SIDEWALK,41.877283293,-87.710221997
theft,2010,11,16,24,RESIDENCE,41.74986572,-87.550438162
prostitution,2006,9,21,7,STREET,41.819740135,-87.619878618
prostitution,2007,2,17,12,STREET,41.851311967,-87.705240064
theft,2007,12,16,12,DRUG STORE,41.765755571,-87.576292427
robbery,2005,1,29,19,PARK PROPERTY,41.765406569,-87.696555552
criminal_damage,2008,1,21,22,PARKING LOT/GARAGE(NON.RESID.),41.829658419,-87.650204535
robbery,2007,2,5,14,PARKING LOT/GARAGE(NON.RESID.),41.909058339,-87.792414622
narcotics,2005,10,25,20,SIDEWALK,41.905805775,-87.726398631
prostitution,2008,7,30,8,STREET,41.809354604,-87.691795869
theft,2012,9,5,16,SMALL RETAIL STORE,41.806603358,-87.703931031
theft,2006,10,18,5,STREET,41.738540825,-87.693776227
criminal_damage,2017,4,11,21,TAXICAB,41.881657949,-87.630871425
theft,2017,6,29,10,STREET,41.830174487,-87.678019189
robbery,2004,6,12,19,SIDEWALK,41.961110709,-87.714685745
theft,2004,9,8,9,PARKING LOT/GARAGE(NON.RESID.),41.938572513,-87.766800977
robbery,2004,9,8,19,SIDEWALK,41.698800794,-87.560754143
robbery,2008,12,22,15,CONVENIENCE STORE,41.779671509,-87.65022937
criminal_damage,2008,8,28,12,STREET,41.682485653,-87.6385442
robbery,2009,5,8,22,STREET,41.863376461,-87.656578591
narcotics,2007,8,31,24,RESIDENCE PORCH/HALLWAY,41.77675506,-87.673837575
criminal_damage,2007,4,27,16,VACANT LOT/LAND,41.844900307,-87.636540214
theft,2008,7,3,12,RESTAURANT,41.723162201,-87.625080049
robbery,2004,8,17,17,STREET,41.786534536,-87.647391795
robbery,2009,8,20,2,STREET,41.80156088,-87.621015557
narcotics,2009,7,16,20,ALLEY,41.998465216,-87.69967472
narcotics,2009,10,21,23,SIDEWALK,41.809595667,-87.600869621
theft,2001,7,16,12,STREET,41.988161969,-87.656612108
criminal_damage,2004,9,25,12,STREET,41.956323357,-87.730926888
prostitution,2010,6,17,20,STREET,41.808007252,-87.712793785
theft,2005,11,5,21,STREET,41.702484859,-87.641481897
prostitution,2013,1,10,14,SIDEWALK,41.924608512,-87.746313427
theft,2006,1,20,14,STREET,41.982047132,-87.664911776
theft,2011,3,19,23,STREET,41.939745808,-87.665019265
theft,2014,6,23,20,PARKING LOT/GARAGE(NON.RESID.),41.78913051,-87.703434602
prostitution,2017,2,5,7,STREET,41.692630608,-87.619597114
prostitution,2016,6,14,20,SIDEWALK,41.869447309,-87.744861466
prostitution,2006,4,15,8,SIDEWALK,41.917262274,-87.718533801
robbery,2013,7,22,1,SIDEWALK,41.9444636,-87.655273285
prostitution,2008,1,28,8,STREET,41.814827685,-87.645032034
narcotics,2010,4,18,18,STREET,41.773083097,-87.609112039
narcotics,2004,3,15,8,OTHER,41.754542876,-87.59920533
narcotics,2004,6,3,11,CHA PARKING LOT/GROUNDS,41.812526814,-87.608264377
theft,2013,8,28,17,STREET,41.817209492,-87.644536963
criminal_damage,2006,12,12,14,RESIDENCE,41.989084409,-87.692054263
prostitution,2007,5,11,19,STREET,41.962004259,-87.654752754
narcotics,2009,12,12,19,SIDEWALK,41.901594467,-87.725049997
robbery,2014,6,6,16,CTA BUS STOP,41.677968643,-87.627761152
theft,2002,8,2,17,DEPARTMENT STORE,41.754592961,-87.741528537
theft,2009,2,28,23,RESIDENCE,41.783087535,-87.665999603
narcotics,2006,4,27,24,SIDEWALK,41.899557181,-87.749698209
prostitution,2009,2,2,12,STREET,41.807337123,-87.729691098
theft,2004,12,17,20,COMMERCIAL / BUSINESS OFFICE,41.997703754,-87.691533629
theft,2001,12,20,17,PARKING LOT/GARAGE(NON.RESID.),41.681057434,-87.539624307
criminal_damage,2004,8,28,21,PARKING LOT/GARAGE(NON.RESID.),41.881861285,-87.707302191
robbery,2006,10,19,18,RESTAURANT,41.916875314,-87.754974591
robbery,2013,12,13,8,SIDEWALK,41.78271439,-87.69647233
theft,2006,3,2,11,SMALL RETAIL STORE,41.897837503,-87.624097243
narcotics,2010,10,11,19,RESIDENCE,41.693126882,-87.635160035
prostitution,2001,3,17,24,STREET,41.780351378,-87.664095784
robbery,2009,9,17,2,ALLEY,41.751328603,-87.601246566
theft,2001,8,15,13,APARTMENT,41.761303849,-87.557706707
criminal_damage,2012,6,22,9,RESIDENCE,41.949667224,-87.671363486
robbery,2010,11,5,15,RESIDENCE,42.010199888,-87.70275949
robbery,2012,3,16,20,SIDEWALK,41.749015615,-87.603907696
narcotics,2006,6,9,22,STREET,41.932035479,-87.726984272
theft,2010,12,17,17,SMALL RETAIL STORE,41.909664252,-87.742728815
prostitution,2009,6,11,21,STREET,41.766274325,-87.66382789
